url,name_vi,reason,detail
https://monngonmoingay.com/salad-sua-chua-cung-gyoza/,Salad Sữa Chua Cùng Gyoza,unparsed_main_ingredient,Ớt chuông vàng trái nhỏ	 1/2 trái 		Cắt que; Ớt chuông đỏ trái nhỏ	 1/2 trái 		Cắt que; Hành tây	 1/4 trái 		Cắt múi cau nhỏ; Tỏi Bắc nguyên củ	 1 củ 		Vạt đầu
https://monngonmoingay.com/canh-hau-cai-be-xanh/,,no_recipe_ldjson,
https://monngonmoingay.com/canh-ga-nam-huong-cu-sam-dat/,Canh Gà Nấm Hương Củ Sâm Đất,unparsed_main_ingredient,"Má đùi gà rút xương		 3 cái; Bắp mỹ		 1/2 trái 	Cắt khúc 1,5cm; Nấm hương		 12 tai 	Ngâm rửa sạch.; Nước dùng gà		 1,5 lít"
https://monngonmoingay.com/tom-trung-cut-xuc-xich-xao-bong-cai/,Tôm Trứng Cút Xúc Xích Xào Bông Cải,unparsed_main_ingredient,"Xúc xích heo		 1 cây 	Cát lát xéo; Gia vị: Mỡ nước, Hạt nêm Aji-ngon® Heo, tiêu, hành tỏi băm, đường, bột năng, nước tương &quot;Phú Sĩ&quot;"
https://monngonmoingay.com/canh-bi-dao-suon-non/,Canh Bí Đao Sườn Non,unparsed_main_ingredient,Bí đao: 1 trái
https://monngonmoingay.com/ga-rim-nuoc-tuong/,Gà Rim Nước Tương,unparsed_main_ingredient,"ĂN KÈM:	Xà lách, dưa leo; Gia vị: 	Đường, muối, tiêu, xốt cà chua, dầu ăn"
https://monngonmoingay.com/suon-nuong-mat-ong-2/,Sườn Nướng Mật Ong,unparsed_main_ingredient,"ĂN KÈM:	Xà lách, dưa leo"
https://monngonmoingay.com/nam-bao-ngu-xao-xa-ot/,Nấm Bào Ngư Xào Sả Ớt,unparsed_main_ingredient,"Nghệ tươi	 1 củ; Gia vị: 	Đường, dầu ăn, Nước tương &quot;Phú Sĩ&quot;, Bột ngọt AJI-NO-MOTO®"
https://monngonmoingay.com/canh-thit-bo-cai-xoong-2/,Canh Thịt Bò Cải Xoong,unparsed_main_ingredient,"Gia vị: 	Hành tím phi, tiêu"
https://monngonmoingay.com/kho-muc-tron-trai-cay/,Khô Mực Trộn Trái Cây,unparsed_main_ingredient,"Táo xanh		 1 quả; Lê giòn		 1 quả; Bacon		 2 lát; Tắc chín vàng		 5 quả 	Vắt lấy nước cốt, vỏ tắc thái sợi nhuyễn"
https://monngonmoingay.com/canh-but-giam-ca-lang-dua-bon-bon/,Canh Bụt Giấm Cá Lăng &#8211; Dưa Bồn Bồn,unparsed_main_ingredient,"Sả cây đập giập, cắt khúc		 2 cây; RAU NÊM: Cần tàu, ngò gai, rau om, tần dầy lá; Gia vị: Ớt hiểm xanh đỏ, tỏi băm, đường, muối, tiêu, nước mắm, dầu ăn"
https://monngonmoingay.com/salad-bo-tom-thit-ap-chao/,Salad Bơ Tôm Thịt Áp Chảo,unparsed_main_ingredient,"ĂN KÈM: Snack tôm (Hanami); Gia vị: Nước hành tỏi băm, hành tím cắt lát, dầu ăn"
https://monngonmoingay.com/tacos-ga-caesar/,Tacos Gà Caesar,unparsed_main_ingredient,"Bánh Tacos		 4 miếng; Hành tây tím		  20 	Cắt mỏng, ngâm nước đá; Gia vị: 	Dầu hào “AJINOMOTO”, tiêu, dầu ăn"
https://monngonmoingay.com/salad-bap-tom-3/,Salad Bắp Tôm,unparsed_main_ingredient,"Gia vị: 	Sữa đặc có đường, tương cà"
https://monngonmoingay.com/ca-dieu-hong-nuong-kem-dua-nu-ngam-chua/,Cá Điêu Hồng Nướng Kèm Dưa Nụ Ngâm Chua,unparsed_main_ingredient,"Tỏi tép cắt lát 		 1M; Gia vị: muối, đường, đường phèn, muối hạt, bột ngọt, nước tương &quot;Phú Sĩ&quot;"
https://monngonmoingay.com/mi-nam-cu-hu-dua-tao-do/,Mì Nấm Củ Hủ Dừa Táo Đỏ,unparsed_main_ingredient,"Táo đỏ khô		 12 quả; Nấm đông cô		 8 tai nhỏ; Nước dùng rau củ		 1,6 lít; Mì trứng		 4 vắt"
https://monngonmoingay.com/heo-quay-kho-mang-2/,Heo Quay Kho Măng,unparsed_main_ingredient,"Dừa xiêm	 1 trái; Gia vị: 	Nước tương &quot;Phú Sĩ&quot;, ớt sừng, hành lá, tỏi băm, tiêu, đường, dầu ăn"
https://monngonmoingay.com/canh-den-com-nau-ngheu-2/,Canh Dền Cơm Nấu Nghêu,unparsed_main_ingredient,Mướp khía	 1 trái
https://monngonmoingay.com/kho-qua-tay-xao-thit-bo-2/,Khổ Qua Tây Xào Thịt Bò,unparsed_main_ingredient,"Gia vị thông thường, tỏi băm, dầu ăn; Nước tương &quot;Phú Sĩ&quot;; Hạt nêm Aji-ngon® Heo"
https://monngonmoingay.com/dau-hu-thit-vien-rau-cu/,Đậu Hủ Thịt Viên Rau Củ,unparsed_main_ingredient,Gia vị: Dầu ăn
https://monngonmoingay.com/cha-ca-kho-van-trung-2/,Chả Cá Kho Vân Trứng,unparsed_main_ingredient,"ĂN KÈM:	Cơm trắng; Gia vị: 	Muối, tiêu, đường, sa tế tôm, dầu ăn, dầu điều, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản"
https://monngonmoingay.com/dot-su-xao-tom-2/,Đọt Su Xào Tôm,unparsed_main_ingredient,"Gia vị: 	Dầu ăn, đường, tiêu, Hạt nêm Aji-ngon® Heo"
https://monngonmoingay.com/canh-suon-hat-sen/,Canh Sườn Hạt Sen,unparsed_main_ingredient,Nấm hương	 5 tai
https://monngonmoingay.com/canh-oc-chua-cay/,Canh Ốc Chua Cay,unparsed_main_ingredient,"Nấm mèo 		 1,5M 	Băm nhỏ"
https://monngonmoingay.com/ga-tiem-hat-sen/,Gà tiềm hạt sen,unparsed_main_ingredient,Đùi gà 1 cái.; Bọng gà 1 cái.; Củ năng 6 củ.; Nấm hương 4 tai.
https://monngonmoingay.com/canh-ga-cu-sen/,Canh Gà Củ Sen,unparsed_main_ingredient,"Táo đỏ		 4 quả; Nấm đông cô		 4 tai nhỏ; Gia vị: Hành tím đập dập 4 củ, muối, hành ngò, tiêu, dầu ăn"
https://monngonmoingay.com/cha-gio-tom-mayo/,Chả Giò Tôm Mayo,unparsed_main_ingredient,"Bánh tráng bò bía	10 - 12 lá; ĂN KÈM:	Xà lách; Gia vị:	Dầu ăn, tiêu, Hạt nêm Aji-ngon® Heo"
https://monngonmoingay.com/cai-thia-xao-hai-sam/,Cải Thìa Xào Hải Sâm,unparsed_main_ingredient,"Nấm đông cô tươi		 8 tai 	Ngâm 10 phút với nước pha bột năng, rửa sạch lại.; Gừng non cắt sợi		 1M; Gia vị: Ngò rí, gừng non cắt sợi, hạt nêm Aji-ngon® heo, dầu hào, dầu ăn, nước pha bột năng"
https://monngonmoingay.com/salad-tonkatsu/,Salad Tonkatsu,unparsed_main_ingredient,Thịt heo chiên xù kiểu Nhật Tonkatsu		 2 bịch; Dầu oliu		 3M; Vỏ chanh mài		 1M; &quot;AJINOMOTO&quot; Giấm gạo lên men		 3M
https://monngonmoingay.com/salad-bacon-xot-me-rang/,Salad Bacon Xốt Mè Rang,low_food_id_cover,"cover=0.74 thieu: Bacon xông khói, Bắp hạt"
https://monngonmoingay.com/sup-ga-chua-cay-2/,Súp Gà Chua Cay,unparsed_main_ingredient,"Ớt sa tế	 1M; ĂN KÈM:	Nước tương “Phú Sĩ” và ớt cắt lát; Gia vị: 	Hạt nêm Aji-ngon® Gà, tiêu, bột năng, đường"
